state,participation_rate,composite,year,py_participation_rate,py_composite,code,region,rate_diff_from_prior,percent_range
Alabama,1.0,18.8,2020,1.0,18.9,AL,South,0.0,76-100
Arkansas,1.0,19.0,2020,1.0,19.3,AR,South,0.0,76-100
Kentucky,1.0,19.5,2020,1.0,19.8,KY,South,0.0,76-100
Louisiana,1.0,18.7,2020,1.0,18.8,LA,South,0.0,76-100
Mississippi,1.0,18.2,2020,1.0,18.4,MS,South,0.0,76-100
Montana,1.0,19.9,2020,1.0,19.8,MT,West,0.0,76-100
Nebraska,1.0,19.9,2020,1.0,20.0,NE,Midwest,0.0,76-100
Nevada,1.0,17.9,2020,1.0,17.9,NV,West,0.0,76-100
North Carolina,1.0,18.8,2020,1.0,19.0,NC,South,0.0,76-100
Ohio,1.0,19.9,2020,1.0,20.0,OH,Midwest,0.0,76-100
Oklahoma,1.0,18.7,2020,1.0,18.9,OK,South,0.0,76-100
Tennessee,1.0,19.3,2020,1.0,19.4,TN,South,0.0,76-100
Utah,1.0,20.2,2020,1.0,20.3,UT,West,0.0,76-100
Wisconsin,1.0,20.1,2020,1.0,20.3,WI,Midwest,0.0,76-100
Wyoming,1.0,19.7,2020,1.0,19.8,WY,West,0.0,76-100
North Dakota,0.94,19.6,2020,0.96,19.9,ND,Midwest,-0.020000000000000018,76-100
Minnesota,0.92,21.3,2020,0.95,21.4,MN,Midwest,-0.029999999999999916,76-100
Hawaii,0.82,18.5,2020,0.8,19.0,HI,West,0.019999999999999907,76-100
Kansas,0.82,20.4,2020,0.72,21.2,KS,Midwest,0.09999999999999998,76-100
Missouri,0.78,20.7,2020,0.82,20.8,MO,Midwest,-0.039999999999999925,76-100
South Carolina,0.76,18.4,2020,0.78,18.8,SC,South,-0.020000000000000018,76-100
Arizona,0.71,19.1,2020,0.73,19.0,AZ,West,-0.020000000000000018,51-75
South Dakota,0.7,21.7,2020,0.75,21.6,SD,Midwest,-0.050000000000000044,51-75
Iowa,0.68,21.1,2020,0.66,21.6,IA,Midwest,0.020000000000000018,51-75
