state,participation_rate,total,year,py_participation_rate,py_total,code,region,rate_diff_from_prior,percent_range
Alabama,0.07,1159,2020,0.07,1143.0,AL,South,0.0,1-25
Alaska,0.37,1098,2020,0.41,1097.0,AK,West,-0.03999999999999998,26-50
Arizona,0.29,1139,2020,0.31,1134.0,AZ,West,-0.020000000000000018,26-50
Arkansas,0.04,1157,2020,0.06,1141.0,AR,South,-0.019999999999999997,1-25
California,0.67,1049,2020,0.63,1065.0,CA,West,0.040000000000000036,51-75
Colorado,1.0,1012,2020,1.0,1024.0,CO,West,0.0,76-100
Connecticut,1.0,1039,2020,1.0,1046.0,CT,Northeast,0.0,76-100
Delaware,1.0,978,2020,1.0,985.0,DE,South,0.0,76-100
Florida,1.0,991,2020,1.0,999.0,FL,South,0.0,76-100
Georgia,0.68,1053,2020,0.71,1058.0,GA,South,-0.029999999999999916,51-75
Hawaii,0.51,1095,2020,0.54,1100.0,HI,West,-0.030000000000000027,51-75
Idaho,1.0,984,2020,1.0,993.0,ID,West,0.0,76-100
Illinois,0.98,1007,2020,1.0,1013.0,IL,Midwest,-0.020000000000000018,76-100
Indiana,0.64,1074,2020,0.66,1080.0,IN,Midwest,-0.020000000000000018,51-75
Iowa,0.03,1220,2020,0.03,1244.0,IA,Midwest,0.0,1-25
Kansas,0.04,1237,2020,0.04,1241.0,KS,Midwest,0.0,1-25
Kentucky,0.04,1207,2020,0.04,1232.0,KY,South,0.0,1-25
Louisiana,0.05,1170,2020,0.05,1200.0,LA,South,0.0,1-25
Maine,0.98,995,2020,0.99,1013.0,ME,Northeast,-0.010000000000000009,76-100
Maryland,0.88,1029,2020,0.82,1058.0,MD,South,0.06000000000000005,76-100
Massachusetts,0.8,1119,2020,0.81,1120.0,MA,Northeast,-0.010000000000000009,76-100
Michigan,1.0,998,2020,1.0,1003.0,MI,Midwest,0.0,76-100
Minnesota,0.04,1257,2020,0.04,1284.0,MN,Midwest,0.0,1-25
Mississippi,0.03,1203,2020,0.03,1237.0,MS,South,0.0,1-25
Missouri,0.04,1213,2020,0.04,1236.0,MO,Midwest,0.0,1-25
Montana,0.1,1185,2020,0.09,1199.0,MT,West,0.010000000000000009,1-25
Nebraska,0.03,1229,2020,0.03,1260.0,NE,Midwest,0.0,1-25
Nevada,0.17,1150,2020,0.2,1156.0,NV,West,-0.03,1-25
New Hampshire,0.93,1055,2020,0.95,1059.0,NH,Northeast,-0.019999999999999907,76-100
New Jersey,0.82,1081,2020,0.82,1090.0,NJ,Northeast,0.0,76-100
New Mexico,0.19,1055,2020,0.18,1073.0,NM,West,0.010000000000000009,1-25
New York,0.79,1058,2020,0.79,1064.0,NY,Northeast,0.0,76-100
North Carolina,0.48,1097,2020,0.51,1100.0,NC,South,-0.030000000000000027,26-50
North Dakota,0.02,1232,2020,0.02,1263.0,ND,Midwest,0.0,1-25
Ohio,0.21,1070,2020,0.19,1097.0,OH,Midwest,0.01999999999999999,1-25
Oklahoma,0.2,971,2020,0.22,963.0,OK,South,-0.01999999999999999,1-25
Oregon,0.51,1104,2020,0.51,1112.0,OR,West,0.0,51-75
Pennsylvania,0.67,1077,2020,0.7,1082.0,PA,Northeast,-0.029999999999999916,51-75
